fsym,tsym,time,open,high,low,close,volumefrom,volumeto,fsym,tsym,max_close,max_high
DCR,USD,"2017-12-30 00:00:00",91.97,99.12,90.52,98.07,26877.31,2579415.44,DCR,USD,98.55,265.87
DFT,BTC,"2017-12-30 00:00:00",0.000365,0.0004887,0.0003645,0.0004884,590.76,0.2887,DFT,BTC,0.0004919,0.01131
DFT,USD,"2017-12-30 00:00:00",5.56,7.21,5.2,6.83,2169.66,13044.59,DFT,USD,6.83,8.7
DIME,BTC,"2017-12-30 00:00:00",0.00000001,0.00000001,0.00000001,0.00000001,10517649.42,0.1052,DIME,BTC,0.00000001,0.00000001
DIME,USD,"2017-12-30 00:00:00",0.00002,0.00002,0.00001,0.00002,59446536.06,1077.4,DIME,USD,0.00002,0.00002
DIVX,BTC,"2017-12-30 00:00:00",0.00008186,0.0002337,0.00008186,0.0002336,0.1,0.00002337,DIVX,BTC,0.0002336,0.0002337
DIVX,USD,"2017-12-30 00:00:00",1.14,3.26,1.14,3.27,0.1,0.326,DIVX,USD,3.27,3.26
DLT,USD,"2017-12-30 00:00:00",0.4556,0.5003,0.4109,0.4845,1892646.52,910552.24,DLT,USD,0.5251,0.6091
DMD,USD,"2017-12-30 00:00:00",19.41,19.93,18.95,19.45,4296.1,83430.26,DMD,USD,19.52,28.73
DNA,BTC,"2017-12-30 00:00:00",0.00003984,25.5,0.00003559,0.00005249,40246.57,2.11,DNA,BTC,0.00005249,25.5
DNA,ETH,"2017-12-30 00:00:00",0.00075,480,0.00067,0.0009888,40246.57,31.5,DNA,ETH,0.0009888,480
DNA,USD,"2017-12-30 00:00:00",0.556,355824,0.4967,0.7342,40246.57,29500.74,DNA,USD,0.7342,355824
DNR,USD,"2017-12-30 00:00:00",1.95,1.95,1.95,1.96,0,0,DNR,USD,1.96,2.01
DOGE,USD,"2017-12-30 00:00:00",0.007672,0.0091,0.0075,0.008876,166972911.17,1401807.52,DOGE,USD,0.009379,0.06176
DOPE,BTC,"2017-12-30 00:00:00",0.00001338,0.00002765,0.00001338,0.00001858,78047061.34,1631.77,DOPE,BTC,0.00001858,0.00002765
DOPE,ETH,"2017-12-30 00:00:00",0.03512,0.07257,0.03512,0.0003496,78047061.34,29737.81,DOPE,ETH,0.0003732,0.2274
DOPE,USD,"2017-12-30 00:00:00",0.1861,0.3846,0.1861,0.2599,78047061.34,21978052.47,DOPE,USD,0.2599,0.3846
DOVU,USD,"2017-12-30 00:00:00",0.2446,0.265,0.2002,0.2479,173233.33,42875.25,DOVU,USD,0.2707,3114547399.39
DP,USD,"2017-12-30 00:00:00",0.1946,0.2421,0.1872,0.2186,18385.24,4451.07,DP,USD,0.2186,0.2421
DRGN,BTC,"2017-12-30 00:00:00",0.00006242,18.06,0.00000002,0.00009443,890631.5,82.08,DRGN,BTC,0.00009443,427203634.52
