fsym,volumefrom,fsym,volumefrom,vol-vol%
CNBC,0,CNBC,0,NULL
CND,310048272.81,CND,728356244.3000001,134.9170462066539
CNX,236231.84999999998,CNX,79919.13,-66.16919776058985
COB,1339905.27,COB,714956.1900000001,-46.641288305403855
COSS,831821.46,COSS,356650.58999999997,-57.12414175993968
COVAL,67212229.08,COVAL,46235830.83,-31.20919888705468
CPAY,919938,CPAY,1244238,35.25237570358002
CPC,1988754.21,CPC,2888318.0100000002,45.23252775414616
CRAVE,3704.6099999999997,CRAVE,40469.61,992.4121567452446
CRC,1296791415.51,CRC,2392090280.23,84.46222357889705
CREA,0,CREA,192604.23,NULL
CRED,633200.22,CRED,850096.29,34.25394735333479
CRW,176478.87,CRW,255273.30000000002,44.64808166552745
CSNO,218659.52000000002,CSNO,193262.26,-11.614980221304796
CTR,7160859.33,CTR,7845247.26,9.557343587700384
CTT,10500.03,CTT,78670.04999999999,649.2364307530548
CTX,179245.02,CTX,619735.5,245.74768102343933
CURE,598049.1000000001,CURE,382945.52999999997,-35.96754346758487
CVC,13935726,CVC,22949799.87,64.68320251130082
DAR,7.41,DAR,116195.67,1567992.7125506073
DASH,160296.78,DASH,240509.31,50.04001328036658
DAT,46204335.839999996,DAT,24352404.12,-47.29411498451267
DATA,19592422.57,DATA,24078917.6,22.899133652158675
DAXX,0,DAXX,9276673.74,NULL
DBET,82145.78,DBET,1207608.42,1370.079680295202
DBIX,5053.08,DBIX,90428.64,1689.5746752475716
DCN,944141000,DCN,1256887000,33.12492519655433
DCR,80631.93000000001,DCR,138437.31,71.69043330601164
DCT,10719393.24,DCT,3810066.06,-64.45632719413138
DEM,27352.260000000002,DEM,487295.52,1681.554869689013
DENT,90698624.25,DENT,248754486.99,174.2648954678053
DFT,20915.73,DFT,20290.29,-2.990285302019096
DGB,1116677521.74,DGB,1421539801.42,27.300834282485205
DGC,15342.93,DGC,487991.25,3080.561014095743
DGD,40518.93,DGD,54559.229999999996,34.651211174628735
DICE,24971.129999999997,DICE,14323.59,-42.639399979095856
DIM,1973567,DIM,2380304,20.60923191358591
DIME,82590336.79,DIME,210063405.05,154.34380487407623
DIVX,0.2,DIVX,28152.14,14075969.999999998
DLT,5677939.5600000005,DLT,3959179.1999999997,-30.270846349058367
DMD,12888.300000000001,DMD,42259.590000000004,227.89111054211958
DNA,120739.70999999999,DNA,50743.979999999996,-57.972418519143375
DNR,0,DNR,260357.55000000002,NULL
DNT,186541269.35999998,DNT,99170236.17,-46.837374640881976
DOGE,5899807332.65,DOGE,8347052495.11,41.48008611936787
DOPE,234141184.02,DOPE,60083256.57000001,-74.33887727975794
DOT,0,DOT,71673448.62,NULL
DOVU,519699.99,DOVU,587744.3999999999,13.093017377198702
DP,55155.72,DP,2282735.64,4038.7106178652
DRGN,2671894.5,DRGN,1934650.6500000001,-27.59255090348814
DRP,8711.880000000001,DRP,12951,48.659072439014295
DTB,505095.57,DTB,487390.64999999997,-3.505261390433506
DTC,0,DTC,0,NULL
DTR,119924.07,DTR,500479.68,317.330465852268
DYN,474509.13,DYN,887236.83,86.97992807851767
EBCH,80736.95999999999,EBCH,455750.13,464.48760270389187
EBST,5552080.5600000005,EBST,7915835.040000001,42.574210774780255
EBTC,110280,EBTC,101870,-7.626042800145086
ECASH,177409.31,ECASH,742259.8400000001,318.38832471644247
EDDIE,0,EDDIE,2664293.82,NULL
EDG,5759748.75,EDG,12537678.09,117.67751744379476
EDO,630637.13,EDO,1265616.43,100.68853700383926
EFL,551998.5,EFL,1275912.15,131.14413354384112
EGC,680431.5,EGC,2181830.8499999996,220.65400411356612
ELITE,14891.529999999999,ELITE,30775.56,106.66486250909075
ELIX,111887.73000000001,ELIX,78541.56,-29.803241159687495
ELLA,0,ELLA,557634.51,NULL
ELM,202050,ELM,415200.83999999997,105.49410541945062
ELTCOIN,204299.66999999998,ELTCOIN,607112.49,197.1676312546173
EMB,294414113.70000005,EMB,162407466.28,-44.837064963030684
EMC,1145895.36,EMC,1813969.38,58.301485748227456
EMC2,17628560.79,EMC2,24119180.580000002,36.81877305424661
EMGO,16326.36,EMGO,25693.83,57.376353332892336
ENG,13112707.29,ENG,18086631.78,37.9320942654856
ENJ,99899121.48,ENJ,122891422.17,23.015518404336618
ENRG,6727366.649999999,ENRG,2672803.32,-60.26969453196074
ENT,36017.399999999994,ENT,27697.379999999997,-23.100001665861495
EOS,9429289.37,EOS,16555905.93,75.57957212209303
EPY,181936.11000000002,EPY,227960.84999999998,25.297199110171125
EQT,309.29999999999995,EQT,111830.67,36056.05237633366
ERC,256452.02999999997,ERC,696653.22,171.650499315603
ERO,12909479.97,ERO,9384759.540000001,-27.303349462495813
ERT,0,ERT,0,NULL
ESP,940210.4100000001,ESP,11873109.66,1162.8141034941316
ETBS,21092.4,ETBS,34339.5,62.805086192182955
ETC,4277445.95,ETC,7099892.41,65.98438631351962
ETG,23130,ETG,110541,377.9118028534371
ETH,1086994.26,ETH,1901042.19,74.88980944572788
ETHD,9735.39,ETHD,13701.99,40.74413043545251
ETN,0,ETN,153892551.96,NULL
ETP,1054773.2,ETP,1799926.7799999998,70.64585827550415
EVX,2507610.9899999998,EVX,2664054.7199999997,6.238755956321598
EXCL,570348.96,EXCL,1117805.34,95.98621517605646
EXP,1256870.31,EXP,1809134.4000000001,43.939624128761544
F16,598468434.8100001,F16,4578699766.35,665.0695508784238
FAIR,206221.91999999998,FAIR,552541.29,167.93528544395284
FCN,8349.03,FCN,68082.87,715.4584424777488
FCT,485308.26,FCT,457679.85000000003,-5.692961005856355
FJC,1984920.69,FJC,39166243.74,1873.1893539786724
FLASH,0,FLASH,32117247.18,NULL
FLDC,81018958.38,FLDC,77624118.87,-4.19017916038529
FLIXX,442982.13,FLIXX,423069.96,-4.495027824260085
FLO,12907003.919999998,FLO,8082262.77,-37.38079867260162
FLT,0,FLT,10044387.33,NULL
FRD,147543.72,FRD,126240.84,-14.43835088338562
FRN,6345.42,FRN,332084.79,5133.456414232627
FRST,7709.67,FRST,20125.949999999997,161.04813824716229
FST,123600.59999999999,FST,3482843.2199999997,2717.820641647371
FTC,3770480.79,FTC,6299206.77,67.06640666905504
FUEL,134189255.10000001,FUEL,80987964.9,-39.64646063528227
FUN,681879880.9800001,FUN,593028559.1400001,-13.030348059588237
FUZZ,962603.76,FUZZ,15800124.809999999,1541.3944622447766
FYN,2660.67,FYN,4659.54,75.12656586498889
FYP,314896.58999999997,FYP,262022.52,-16.790931270484695
GAME,1122986.5499999998,GAME,2228087.16,98.40728813715538
GAS,369157.52999999997,GAS,346015.26,-6.268941608748971
GBX,0,GBX,33383.61,NULL
GBYTE,3611.16,GBYTE,8098.74,124.26976373242947
GCN,0,GCN,0,NULL
GCR,17597254.049999997,GCR,13736736.36,-21.93818239499701
GEO,325792.19999999995,GEO,519461.28,59.44558525342231
GER,54380028.349999994,GER,45741576.4,-15.885339180776645
GHS,164711.01,GHS,236307.21000000002,43.467768183802654
GIM,217086.09,GIM,542540.46,149.91949507220846
GLD,2138692.86,GLD,2570569.02,20.1934634036231
GMT,3891385.08,GMT,4399523.25,13.058028428273666
GNO,23094.03,GNO,32182.44,39.353936926556344
GNT,34966860.36,GNT,46611687.33,33.3024665357745
GOLOS,871278.39,GOLOS,2312710.29,165.43872963496776
GRC,59790287.67,GRC,12717035.64,-78.73059967500237
GRID,72937.70999999999,GRID,182853.12,150.69764323557732
GRS,3343349.76,GRS,4925134.0200000005,47.31136056791141
GRWI,0,GRWI,131984.01,NULL
GRX,33052.08,GRX,71597.54999999999,116.62040634053888
GUP,23967844.86,GUP,31187276.369999997,30.121321095700708
GVT,452202.57,GVT,477369.83999999997,5.565485839675781
HAC,11482527.27,HAC,7083164.850000001,-38.31353774786201
HBT,168212.16,HBT,64455.06,-61.68228266018343
HDG,142350.78,HDG,173944.56,22.194314635999888
HGT,1643066.67,HGT,1560238.1099999999,-5.04109550222938
HKN,6103.780000000001,HKN,19833.84,224.9435595647287
HMQ,33545738.849999998,HMQ,27206224.200000003,-18.898121989046594
HOLD,0,HOLD,1706939.67,NULL
HSR,3006385.9499999997,HSR,2336475.2199999997,-22.282925118113994
HST,191581.41,HST,308853.9,61.21287550811951
HTML5,32021638.88,HTML5,105982010.36,230.96997551300848
HUC,574139.1000000001,HUC,1340393.3699999999,133.46143295239773
HUSH,0,HUSH,222583.02,NULL
HVN,4791871.11,HVN,11234803.89,134.45546910797438
HYP,4904672.4,HYP,14214997.98,189.82563606083048
ICN,3328392.0300000003,ICN,3796572.54,14.066267007615679
ICOS,410.15,ICOS,1378.26,236.0380348652932
ICX,10500,ICX,33900,222.85714285714286
IFLT,18036380.240000002,IFLT,24480688.65,35.729499623811414
IFT,24605.07,IFT,1583580.87,6335.994167055815
IGNIS,15748.949999999999,IGNIS,40155.81,154.9745221109979
INCNT,7083555.51,INCNT,1063756.59,-84.98273093931044
IND,1990116.3900000001,IND,2360881.41,18.630318400623793
INFX,237719.13,INFX,264259.35,11.164528492090634
INN,0,INN,69770.70000000001,NULL
INSN,158.43,INSN,840863.3699999999,530647.5667487216
IOC,246788.37,IOC,328779.66000000003,33.223320045430036
ION,967692.0900000001,ION,1197400.08,23.737714958484364
IOP,645913.53,IOP,1186708.26,83.72556153143285
IOT,37440101.11,IOT,67686352.50999999,80.7857097157289
IXT,937262.0700000001,IXT,1128582.33,20.4126749736069
KCS,1109881.6199999999,KCS,1276445.73,15.007376192066332
KEK,0,KEK,122055.29999999999,NULL
KEY,37550461.86,KEY,31620953.700000003,-15.790772912746261
KICK,5165066.43,KICK,5002098.78,-3.1551898162130594
KIN,8272397190.299999,KIN,6113607317.5199995,-26.096303442868308
KMD,3280322.19,KMD,6637062.8100000005,102.32960134931137
KNC,3780808.0200000005,KNC,3946028.6100000003,4.36998094391473
KOLION,52055.58,KOLION,78836.61,51.446991849865086
KORE,191723.94,KORE,289527.08999999997,51.01248701648837
KRB,30894.899999999998,KRB,112698.75,264.7810803724887
KURT,838884.5700000001,KURT,3153073.5300000003,275.8650048838066
LA,6681627.720000001,LA,16082984.73,140.7045918146424
LBC,13970282.700000001,LBC,18604719.15,33.17353377537591
LBTC,0,LBTC,7385401.92,NULL
LDOGE,100711638.06,LDOGE,36848301.230000004,-63.41207238825045
LEND,426185001,LEND,723265467,69.70692664052717
LEO,11039.98,LEO,38127.36,245.35714738613657
LGD,1895322.87,LGD,1233013.47,-34.94441028931393
LIFE,25666950.21,LIFE,16136154.83,-37.132558804305255
LINDA,56325279.60000001,LINDA,401922435.07000005,613.5737947939099
LINK,27235728,LINK,30402792,11.628343475893136
LINX,0,LINX,653037.39,NULL
LKK,53428.93000000001,LKK,113464.4,112.36509883316019
LMC,38397429.45,LMC,47330284.980000004,23.26420194776867
LOC,34276.62,LOC,59760.69,74.3482583755341
LRC,31151363.67,LRC,29391131.64,-5.650577768109633
LSK,3388870.96,LSK,4380289.15,29.255117757567273
LTC,1604184.4,LTC,2564593.42,59.86899137031878
LTCU,287245.08,LTCU,495806.16000000003,72.60736371881461
LUN,469219.74,LUN,186226.11000000002,-60.311535486550504
LUX,0,LUX,365511.63,NULL
MAD,2867518.1,MAD,2178319.5300000003,-24.034672004337125
MAID,13081692.3,MAID,10779268.92,-17.600348083405084
MANA,176557386.64000002,MANA,372182499.43,110.79973288734672
MARS,0,MARS,1056039.81,NULL
MBRS,2,MBRS,554463.46,27723073
MCAP,6500.200000000001,MCAP,12620,94.14787237315772
MCO,4153408.9899999998,MCO,4249237.41,2.3072233009251613
MDA,5393154,MDA,1572309,-70.84620613466628
MEME,4699976.7299999995,MEME,7318270.41,55.70865198730465
MER,4464637.26,MER,19609689.12,339.2224491716042
MGO,345934.83,MGO,767216.04,121.7805128208686
MINT,21089907.22,MINT,338886747.35999995,1506.8669426797032
MKR,414.65999999999997,MKR,6.18,-98.5096223411952
MLN,5278.35,MLN,9799.02,85.64551422319474
MNX,596.13,MNX,334.39,-43.90653045476658
MOD,7332279.75,MOD,9174418.14,25.123678484853233
MOIN,3957.42,MOIN,822532.74,20684.5702503146
MOJO,51939.84,MOJO,768278.91,1379.1707290588497
MONA,1263340.98,MONA,1162398.48,-7.990123141576552
MOON,85558444.66,MOON,261967702.57000002,206.18567648235228
MRP,13647.41,MRP,329866.5,2317.063017818033
MRT,91091.81999999999,MRT,113000.40000000001,24.051094818393153
MSP,174132.41999999998,MSP,358288.83,105.75653287308593
MTH,42811917.75,MTH,49494121.650000006,15.608279776254605
MTL,2723010.45,MTL,2878760.7,5.719781574837511
MUE,9464477.49,MUE,9423310.53,-0.4349628391371545
MUSIC,76795997.52,MUSIC,124626564.47999999,62.28262996068704
MYB,20159.97,MYB,40930.89,103.03051046206913
MYST,4119782.6399999997,MYST,1750692.09,-57.50523163523016
MZC,0,MZC,21950809.56,NULL
NAV,2530734,NAV,4028681.5500000003,59.190240855024676
NBT,8198192.1899999995,NBT,25482555.089999996,210.8313942808408
NDC,711808.11,NDC,405890.39999999997,-42.977553318407686
NEBL,3279.8799999999997,NEBL,28862.230000000003,779.9782309108872
NEO,1596628.11,NEO,2295111.75,43.7474221846188
NEOS,356190.33,NEOS,1359137.5499999998,281.5762067431757
NET,4634.76,NET,28365442.200000003,611915.3406001605
NET*,120591.09,NET*,159407.73,32.18864677315713
NETKO,161.31,NETKO,197219.88,122161.40970801562
NEU,839572.0499999999,NEU,932714.3699999999,11.094023437297604
NGC,1451759.6,NGC,2622393.6,80.63552670841646
NKA,145442.27,NKA,3786557.25,2503.4778266318317
NLC2,327933.75,NLC2,1239581.3399999999,277.99748882205625
NLG,13483796.549999999,NLG,37677681.45,179.42932326429982
NMC,102111.29999999999,NMC,118812.54000000001,16.35591751353672
NMR,135173.52,NMR,101676.90000000001,-24.780459959909294
NOTE,40083.3,NOTE,1065232.1099999999,2557.545935589135
NTRN,2622.54,NTRN,151947.48,5693.905145393398
NULS,1660533.4500000002,NULS,2835030.9000000004,70.73012892332883
NXC,3087156.0300000003,NXC,6235799.01,101.99170205206632
NXS,541505.25,NXS,771989.64,42.563648274878226
NXT,375334347.15999997,NXT,420146954.2,11.939383480110072
NYC,516969464.01000005,NYC,555288059.12,7.412158314491616
OAX,16086909.16,OAX,2069938.61,-87.13277616344793
OBITS,1749.9299999999998,OBITS,11170.95,538.365534621385
OCL,276595.62,OCL,124358.51999999999,-55.039591733231354
ODN,28140,ODN,1032500.5499999999,3569.1561833688693
ODNT,19457.670000000002,ODNT,312114.06,1504.0669823262497
OK,11989447.92,OK,16623827.129999999,38.653816597086475
OMG,9640984.95,OMG,5361661.550000001,-44.386786435134916
OMNI,86189.91,OMNI,106564.29000000001,23.63893871103938
ONG,24149.91,ONG,71766.56999999999,197.1711695819984
ONION,0,ONION,430588.19999999995,NULL
ONX,1064652.69,ONX,648671.16,-39.07204047922895
OPT,5838231.84,OPT,5552240.1899999995,-4.898600429680785
ORME,879915,ORME,4047368.37,359.9726530403505
OTN,4583.9400000000005,OTN,9070.739999999998,97.8808623149517
OTX,234300,OTX,365400,55.953905249679906
PAC,9349166481.18,PAC,13360194817.619999,42.90252339087397
PAK,119201.14,PAK,956375.2,702.3205147199095
PART,199510.14,PART,544383.8099999999,172.8602215406194
PASC,694608.12,PASC,1396085.1,100.98888276745168
PASL,0,PASL,360316.89,NULL
PAY,10761772.620000001,PAY,8312391.029999999,-22.76001990088508
PBL,125831.01,PBL,265413.51,110.9285382037385
PBT,315.9,PBT,457.02,44.67236467236468
PDC,2147322.9000000004,PDC,2074356,-3.3980404158126554
